Date,SP500,DJIA,NASDAQ,NIKKEI,HSI,SH,TWII,yield_spread
2015-06-12,2094.11,17898.84,5051.1,20407.08,27280.5390625,5166.35009765625,9301.9296875,1.6500000000000001
2015-06-15,2084.43,17791.17,5029.97,20387.79,26861.810546875,5062.9931640625,9259.48046875,1.64
2015-06-16,2096.29,17904.48,5055.55,20257.94,26566.69921875,4887.43212890625,9212.7802734375,1.6099999999999999
2015-06-17,2100.44,17935.74,5064.88,20219.27,26753.7890625,4967.89794921875,9189.830078125,1.65
2015-06-18,2121.24,18115.84,5132.95,19990.82,26694.66015625,4785.35595703125,9218.3701171875,1.69
2015-06-19,2109.99,18015.95,5117.0,20174.24,26760.529296875,4478.36376953125,,1.6099999999999999
2015-06-22,2122.85,18119.78,5153.97,20428.19,27080.849609375,,9341.76953125,1.69
2015-06-23,2124.2,18144.07,5160.09,20809.42,27333.4609375,4576.4921875,9391.1396484375,1.72
2015-06-24,2108.58,17966.07,5122.41,20868.03,27404.970703125,4690.14990234375,9397.3095703125,1.6999999999999997
2015-06-25,2102.31,17890.36,5112.19,20771.4,27145.75,4527.77880859375,9476.33984375,1.7199999999999998
2015-06-26,2101.49,17946.68,5080.51,20706.15,26663.869140625,4192.873046875,9462.5703125,1.7700000000000002
2015-06-29,2057.64,17596.35,4958.47,20109.95,25966.98046875,4053.030029296875,9236.099609375,1.69
2015-06-30,2063.11,17619.51,4986.87,20235.73,26250.029296875,4277.22216796875,9323.01953125,1.71
2015-07-01,2077.42,17757.91,5013.12,20329.32,,4053.699951171875,9375.23046875,1.7400000000000002
2015-07-02,2076.78,17730.11,5009.21,20522.5,26282.3203125,3912.76708984375,9379.240234375,1.7599999999999998
2015-07-03,,,,20539.79,26064.109375,3686.9150390625,9358.23046875,
2015-07-06,2068.76,17683.58,4991.94,20112.12,25236.279296875,3775.912109375,9255.9599609375,1.6999999999999997
2015-07-07,2081.34,17776.91,4997.46,20376.59,24975.310546875,3727.125,9250.16015625,1.69
2015-07-08,2046.68,17515.42,4909.76,19737.64,23516.560546875,3507.19189453125,8976.1103515625,1.6700000000000002
2015-07-09,2051.31,17548.62,4922.4,19855.5,24392.7890625,3709.330078125,8914.1298828125,1.7199999999999998
2015-07-10,2076.62,17760.41,4997.7,19779.83,24901.279296875,3877.802978515625,,1.77
2015-07-13,2099.6,17977.68,5071.51,20089.77,25224.009765625,3970.387939453125,9033.919921875,1.75
2015-07-14,2108.95,18053.58,5104.89,20385.33,25120.91015625,3924.487060546875,9041.759765625,1.75
2015-07-15,2107.4,18050.17,5098.94,20463.33,25055.759765625,3805.702880859375,9054.2001953125,1.7199999999999998
2015-07-16,2124.29,18120.25,5163.18,20600.12,25162.779296875,3823.176025390625,9042.2099609375,1.69
2015-07-17,2126.64,18086.45,5210.14,20650.92,25415.26953125,3957.35205078125,9045.98046875,1.6599999999999997
2015-07-20,2128.28,18100.41,5218.86,,25404.810546875,3992.110107421875,8975.0,1.67
2015-07-21,2119.21,17919.29,5208.12,20841.97,25536.4296875,4017.675048828125,9005.9599609375,1.6400000000000001
2015-07-22,2114.15,17851.04,5171.77,20593.67,25282.619140625,4026.044921875,8918.7001953125,1.58
2015-07-23,2102.15,17731.92,5146.41,20683.95,25398.849609375,4123.9228515625,8791.1201171875,1.5699999999999998
2015-07-24,2079.65,17568.53,5088.63,20544.53,25128.509765625,4070.907958984375,8767.8603515625,1.57
2015-07-27,2067.64,17440.59,5039.78,20350.1,24351.9609375,3725.55810546875,8556.6796875,1.5499999999999998
2015-07-28,2093.25,17630.27,5089.21,20328.89,24503.939453125,3663.001953125,8582.490234375,1.5699999999999998
2015-07-29,2108.57,17751.39,5111.73,20302.91,24619.44921875,3789.16796875,8563.48046875,1.59
2015-07-30,2108.63,17745.98,5128.78,20522.83,24497.98046875,3705.76611328125,8651.490234375,1.5599999999999998
2015-07-31,2103.84,17689.86,5128.28,20585.24,24636.279296875,3663.72607421875,8665.33984375,1.5300000000000002
2015-08-03,2098.04,17598.2,5115.38,20548.11,24411.419921875,3622.905029296875,8524.41015625,1.48
2015-08-04,2093.32,17550.69,5105.55,20520.36,24406.119140625,3756.544921875,8510.8603515625,1.49
2015-08-05,2099.84,17540.47,5139.94,20614.06,24514.16015625,3694.572998046875,8542.26953125,1.5499999999999998
2015-08-06,2083.56,17419.75,5056.44,20664.44,24375.279296875,3661.5390625,8449.5595703125,1.52
2015-08-07,2077.57,17373.38,5043.54,20724.56,24552.470703125,3744.205078125,8442.2900390625,1.4500000000000002
2015-08-10,2104.18,17615.17,5101.8,20808.69,24521.119140625,3928.4150390625,8466.83984375,1.5100000000000002
2015-08-11,2084.07,17402.84,5036.79,20720.75,24498.2109375,3927.907958984375,8394.1396484375,1.4699999999999998
2015-08-12,2086.05,17402.51,5044.39,20392.77,23916.01953125,3886.320068359375,8283.3798828125,1.4700000000000002
2015-08-13,2083.39,17408.25,5033.56,20595.55,24018.80078125,3954.555908203125,8311.740234375,1.47
2015-08-14,2091.54,17477.4,5048.24,20519.45,23991.029296875,3965.3349609375,8305.6396484375,1.4700000000000002
2015-08-17,2102.44,17545.18,5091.7,20620.26,23814.650390625,3993.66796875,8213.419921875,1.4400000000000002
2015-08-18,2096.92,17511.34,5059.35,20554.47,23474.970703125,3748.1640625,8177.22021484375,1.4600000000000002
2015-08-19,2079.61,17348.73,5019.05,20222.63,23167.849609375,3794.10888671875,8021.83984375,1.4500000000000002
2015-08-20,2035.73,16990.69,4877.49,20033.52,22757.470703125,3664.291015625,8029.81005859375,1.4
2015-08-21,1970.89,16459.75,4706.04,19435.83,22409.619140625,3507.743896484375,7786.919921875,1.4099999999999997
2015-08-24,1893.21,15871.35,4526.25,18540.68,21251.5703125,3209.905029296875,7410.33984375,1.42
2015-08-25,1867.61,15666.44,4506.49,17806.7,21404.9609375,2964.967041015625,7675.64013671875,1.4500000000000002
2015-08-26,1940.51,16285.51,4697.54,18376.83,21080.390625,2927.2880859375,7715.58984375,1.5100000000000002
2015-08-27,1987.66,16654.77,4812.71,18574.44,21838.5390625,3083.591064453125,7824.5498046875,1.5
2015-08-28,1988.87,16643.01,4828.32,19136.32,21612.390625,3232.35009765625,8019.18017578125,1.47
2015-08-31,1972.18,16528.03,4776.51,18890.48,21670.580078125,3205.986083984375,8174.919921875,1.47
2015-09-01,1913.85,16058.35,4636.11,18165.69,21185.4296875,3166.6240234375,8017.56005859375,1.47
2015-09-02,1948.86,16351.38,4749.98,18095.4,20934.939453125,3160.1669921875,8035.2900390625,1.4800000000000002
2015-09-03,1951.13,16374.76,4733.5,18182.39,,,8095.9501953125,1.4700000000000002
2015-09-04,1921.22,16102.38,4683.92,17792.16,20840.609375,,8000.60009765625,1.42
2015-09-07,,,,17860.47,20583.51953125,3080.419921875,7986.56005859375,
2015-09-08,1969.41,16492.68,4811.93,17427.08,21259.0390625,3170.451904296875,8001.5,1.4600000000000002
2015-09-09,1942.04,16253.57,4756.53,18770.51,22131.310546875,3243.089111328125,8286.919921875,1.46
2015-09-10,1952.29,16330.4,4796.25,18299.62,21562.5,3197.89306640625,8268.6796875,1.48
2015-09-11,1961.05,16433.09,4822.34,18264.22,21504.369140625,3200.23388671875,8305.8203125,1.4900000000000002
2015-09-14,1953.03,16370.96,4805.76,17965.7,21561.900390625,3114.798095703125,8307.2900390625,1.4500000000000002
2015-09-15,1978.09,16599.85,4860.52,18026.48,21455.23046875,3005.172119140625,8259.990234375,1.46
2015-09-16,1995.31,16739.95,4889.24,18171.6,21966.66015625,3152.262939453125,8333.2900390625,1.48
2015-09-17,1990.2,16674.74,4893.95,18432.27,21854.630859375,3086.06103515625,8445.5,1.51
2015-09-18,1958.03,16384.58,4827.23,18070.21,21920.830078125,3097.9169921875,8462.1396484375,1.44
2015-09-21,1966.97,16510.19,4828.95,,21756.9296875,3156.5400390625,8307.0400390625,1.4800000000000002
2015-09-22,1942.74,16330.47,4756.72,,21796.580078125,3185.618896484375,8365.919921875,1.4500000000000002
2015-09-23,1938.76,16279.89,4752.74,,21302.91015625,3115.887939453125,8193.419921875,1.4600000000000002
2015-09-24,1932.24,16201.32,4734.48,17571.83,21095.98046875,3142.68701171875,8123.10009765625,1.46
2015-09-25,1931.34,16314.67,4686.5,17880.51,21186.3203125,3092.346923828125,8132.35009765625,1.47
2015-09-28,1881.77,16001.89,4543.97,17645.11,,3100.756103515625,,1.4300000000000002
2015-09-29,1884.09,16049.13,4517.32,16930.84,20556.599609375,3038.136962890625,,1.4099999999999997
2015-09-30,1920.03,16284.7,4620.16,17388.15,20846.30078125,3052.781005859375,8181.240234375,1.42
2015-10-01,1923.82,16272.01,4627.08,17722.42,,,8295.9404296875,1.4099999999999997
2015-10-02,1951.36,16472.37,4707.78,17725.13,21506.08984375,,8305.0302734375,1.4100000000000001
2015-10-05,1987.05,16776.43,4781.26,18005.49,21854.5,,8352.3603515625,1.46
2015-10-06,1979.92,16790.19,4748.36,18186.1,21831.619140625,,8394.099609375,1.44
2015-10-07,1995.83,16912.29,4791.15,18322.98,22515.759765625,,8495.23046875,1.4300000000000002
2015-10-08,2013.43,17050.75,4810.79,18141.17,22354.91015625,3143.35693359375,8445.9599609375,1.4700000000000002
2015-10-09,2014.89,17084.49,4830.47,18438.67,22458.80078125,3183.152099609375,,1.4700000000000002
2015-10-12,2017.46,17131.86,4838.64,,22730.9296875,3287.662109375,8573.7197265625,
2015-10-13,2003.69,17081.89,4796.61,18234.74,22600.4609375,3293.22998046875,8567.919921875,1.42
2015-10-14,1994.24,16924.75,4782.85,17891.0,22439.91015625,3262.44091796875,8522.509765625,1.42
2015-10-15,2023.86,17141.75,4870.1,18096.9,22888.169921875,3338.072998046875,8601.51953125,1.4300000000000002
2015-10-16,2033.11,17215.97,4886.69,18291.8,23067.369140625,3391.35205078125,8604.9501953125,1.4300000000000002
2015-10-19,2033.66,17230.54,4905.47,18131.23,23075.609375,3386.699951171875,8631.5,1.4300000000000002
2015-10-20,2030.77,17217.11,4880.97,18207.15,22989.220703125,3425.330078125,8653.599609375,1.42
2015-10-21,2018.94,17168.61,4840.12,18554.28,,3320.676025390625,8609.23046875,1.4
2015-10-22,2052.51,17489.16,4920.05,18435.87,22845.369140625,3368.739013671875,8608.4599609375,1.4300000000000002
2015-10-23,2075.15,17646.7,5031.86,18825.3,23151.939453125,3412.43408203125,8673.8095703125,1.4299999999999997
2015-10-26,2071.18,17623.05,5034.7,18947.12,23116.25,3429.5810546875,8745.3603515625,1.4099999999999997
2015-10-27,2065.89,17581.43,5030.15,18777.04,23142.73046875,3434.3359375,8701.3203125,1.4
2015-10-28,2090.35,17779.52,5095.69,18903.02,22956.5703125,3375.196044921875,8665.990234375,1.37
2015-10-29,2089.41,17755.8,5074.27,18935.71,22819.939453125,3387.31494140625,8571.080078125,1.44
2015-10-30,2079.36,17663.54,5053.75,19083.1,22640.0390625,3382.56103515625,8554.3095703125,1.4100000000000001
2015-11-02,2104.05,17828.76,5127.15,18683.24,22370.0390625,3325.0849609375,8614.76953125,1.4300000000000002
2015-11-03,2109.79,17918.15,5145.13,,22568.4296875,3316.695068359375,8713.1904296875,1.43
2015-11-04,2102.31,17867.58,5142.48,18926.91,23053.5703125,3459.639892578125,8857.01953125,1.4100000000000001
2015-11-05,2099.93,17863.43,5127.74,19116.41,23051.0390625,3522.819091796875,8850.1796875,1.4099999999999997
2015-11-06,2099.2,17910.33,5147.12,19265.6,22867.330078125,3590.031982421875,8693.5703125,1.44
2015-11-09,2078.58,17730.48,5095.3,19642.74,22726.76953125,3646.881103515625,8642.48046875,1.4699999999999998
2015-11-10,2081.72,17758.21,5083.24,19671.26,22401.69921875,3640.485107421875,8536.900390625,1.4499999999999997
2015-11-11,2075.0,17702.22,5067.02,19691.39,22352.169921875,3650.2490234375,8415.009765625,
2015-11-12,2045.97,17448.07,5005.08,19697.77,22888.919921875,3632.902099609375,8428.08984375,1.4299999999999997
2015-11-13,2023.04,17245.24,4927.88,19596.91,22396.140625,3580.839111328125,8329.5,1.42
2015-11-16,2053.19,17483.01,4984.62,19393.69,22010.8203125,3606.95703125,8295.400390625,1.3900000000000001
2015-11-17,2050.44,17489.5,4986.01,19630.63,22264.25,3604.794921875,8419.419921875,1.3900000000000001
2015-11-18,2083.58,17737.16,5075.2,19649.18,22188.259765625,3568.468017578125,8340.4697265625,1.37
2015-11-19,2081.24,17732.75,5073.64,19859.81,22500.220703125,3617.06201171875,8477.2001953125,1.33
2015-11-20,2089.17,17823.81,5104.92,19879.81,22754.720703125,3630.5,8465.4501953125,1.3299999999999996
2015-11-23,2086.59,17792.68,5102.48,,22665.900390625,3610.31494140625,8485.73046875,1.31
2015-11-24,2089.14,17812.19,5102.81,19924.89,22587.630859375,3616.113037109375,8400.1396484375,1.31
2015-11-25,2088.87,17813.39,5116.14,19847.58,22498.0,3647.929931640625,8386.1298828125,1.2999999999999998
2015-11-26,,,,19944.41,22488.939453125,3635.552001953125,8484.900390625,
2015-11-27,2090.11,17798.49,5127.52,19883.94,22068.3203125,3436.302978515625,8398.400390625,1.3000000000000003
2015-11-30,2080.41,17719.92,5108.67,19747.47,21996.419921875,3445.405029296875,8320.6103515625,1.27
2015-12-01,2102.63,17888.35,5156.31,20012.4,22381.349609375,3456.30908203125,8463.2998046875,1.2399999999999998
2015-12-02,2079.51,17729.68,5123.22,19938.13,22479.689453125,3536.905029296875,8457.400390625,1.2400000000000002
2015-12-03,2049.62,17477.67,5037.53,19939.9,22417.009765625,3584.823974609375,8456.0595703125,1.37
2015-12-04,2091.69,17847.63,5142.27,19504.48,22235.890625,3524.991943359375,8398.599609375,1.3199999999999998
2015-12-07,2077.07,17730.51,5101.81,19698.15,22203.220703125,3536.927001953125,8454.26953125,1.29
2015-12-08,2063.59,17568.0,5098.24,19492.6,21905.130859375,3470.070068359375,8343.8603515625,1.3000000000000003
2015-12-09,2047.62,17492.3,5022.87,19301.07,21803.759765625,3472.43896484375,8229.6201171875,1.29
2015-12-10,2052.23,17574.75,5045.17,19046.55,21704.609375,3455.4951171875,8216.169921875,1.2900000000000003
2015-12-11,2012.37,17265.21,4933.47,19230.48,21464.05078125,3434.5810546875,8115.89013671875,1.25
