Player Name,Age,Market value,Left,Fee,Year,Club,Position
Lee Bowyer,26,-,Leeds,€300k,2002,West Ham,midfielder
David Noble,21,-,Arsenal Res.,€100k,2002,West Ham,midfielder
Raimond van der Gouw,39,-,Man Utd,free transfer,2002,West Ham,goalkeeper
Rufus Brevett,33,-,Fulham,free transfer,2002,West Ham,defender
Gary Breen,28,-,Coventry,free transfer,2002,West Ham,defender
Youssef Sofiane,17,-,AJ Auxerre B,free transfer,2002,West Ham,forward
Leonidas Vokolos,32,-,Panathinaikos,loan transfer,2002,West Ham,defender
Les Ferdinand,36,-,Tottenham,?,2002,West Ham,forward
Édouard Cissé,24,-,Paris SG,loan transfer,2002,West Ham,midfielder
Brent Rahim,23,-,Levski Sofia,loan transfer,2002,West Ham,midfielder
Glen Johnson,17,-,West Ham U18,-,2002,West Ham,defender
James Allen,18,-,West Ham U18,-,2002,West Ham,forward
Billy Mehmet,18,-,West Ham U18,-,2002,West Ham,forward
David Forde,23,-,Barnet,"End of loanApr 1, 2003",2002,West Ham,goalkeeper
Izzy Iriekpen,20,-,Cambridge Utd.,"End of loanMay 1, 2003",2002,West Ham,defender
Izzy Iriekpen,20,-,Leyton Orient,"End of loanDec 1, 2002",2002,West Ham,defender
Rigobert Song,25,-,1.FC Köln,"End of loanJun 30, 2002",2002,West Ham,defender
Glen Johnson,18,-,Millwall,"End of loanDec 1, 2002",2002,West Ham,defender
Ömer Rıza,22,-,Cambridge Utd.,"End of loanJun 1, 2002",2002,West Ham,forward
Tomas Repka,27,-,Fiorentina,€8.25m,2001,West Ham,defender
Don Hutchison,30,-,Sunderland,€7.50m,2001,West Ham,midfielder
David James,30,-,Aston Villa,€4.80m,2001,West Ham,goalkeeper
Vladimír Labant,27,-,Sparta Prague,€1.40m,2001,West Ham,defender
David Forde,22,-,Barry,€110k,2001,West Ham,goalkeeper
Laurent Courtois,22,-,Toulouse,free transfer,2001,West Ham,midfielder
Hayden Foxe,24,-,KV Mechelen,?,2001,West Ham,defender
Hannu Tihinen,25,-,Viking,loan transfer,2001,West Ham,defender
Stephen Bywater,20,-,Wolves,"End of loanAug 16, 2001",2001,West Ham,goalkeeper
Ömer Rıza,21,-,Barnet,"End of loanJun 30, 2001",2001,West Ham,forward
Stephen Bywater,20,-,Cardiff,"End of loanMay 31, 2002",2001,West Ham,goalkeeper
Frédéric Kanouté,22,-,Olympique Lyon,€5.63m,2000,West Ham,forward
Rigobert Song,24,-,Liverpool,€4.17m,2000,West Ham,defender
Titi Camara,28,-,Liverpool,€3.30m,2000,West Ham,forward
Christian Dailly,27,-,Blackburn,€2.82m,2000,West Ham,defender
Ragnvald Soma,21,-,Bryne,€1.22m,2000,West Ham,defender
Svetoslav Todorov,22,-,Lovech,€750k,2000,West Ham,forward
Sébastien Schemmel,25,-,FC Metz,€700k,2000,West Ham,defender
Tom Williams,19,-,Walton & Hersh.,€66k,2000,West Ham,defender
Nigel Winterburn,36,-,Arsenal,free transfer,2000,West Ham,defender
Christian Bassila,22,-,Stade Rennais,free transfer,2000,West Ham,defender
Ian Feuer,29,-,Cardiff,free transfer,2000,West Ham,goalkeeper
Davor Suker,32,-,Arsenal,free transfer,2000,West Ham,forward
Vanni Chiarotto,21,-,Padova,?,2000,West Ham,midfielder
Kaba Diawara,25,-,Paris SG,loan transfer,2000,West Ham,forward
Anwar Uddin,18,-,West Ham U18,-,2000,West Ham,defender
Daryl McMahon,17,-,West Ham U18,-,2000,West Ham,midfielder
Grant McCann,20,-,Notts County,"End of loanSep 1, 2000",2000,West Ham,midfielder
Gavin Holligan,20,-,Kingstonian FC,"End of loanMay 31, 2001",2000,West Ham,forward
Jermain Defoe,18,-,Bournemouth,"End of loanMay 1, 2001",2000,West Ham,forward
Richard García,19,-,Leyton Orient,"End of loanNov 1, 2000",2000,West Ham,forward
Paul Kitson,29,-,Crystal Palace,"End of loanOct 1, 2000",2000,West Ham,forward
Alex O'Reilly,21,-,Wigan,"End of loanDec 13, 2000",2000,West Ham,goalkeeper
Gary Charles,30,-,Birmingham,"End of loanOct 17, 2000",2000,West Ham,defender
Tom Williams,20,-,Peterborough,"End of loanMay 31, 2001",2000,West Ham,defender
Stevland Angus,20,-,Bournemouth,"End of loanOct 1, 2000",2000,West Ham,defender
Marc Keller,32,-,Portsmouth,"End of loanOct 12, 2000",2000,West Ham,midfielder
Paulo Wanchope,22,-,Derby,€5.35m,1999,West Ham,forward
Jermain Defoe,16,-,Charlton U18,€1.73m,1999,West Ham,forward
Gary Charles,29,-,Benfica,€1.20m,1999,West Ham,defender
Igor Stimac,31,-,Derby,€700k,1999,West Ham,defender
Rob Jones,27,-,Liverpool,free transfer,1999,West Ham,defender
Stuart Pearce,37,-,Newcastle,free transfer,1999,West Ham,defender
Romarin Billong,29,-,Saint-Étienne,?,1999,West Ham,defender
Ömer Rıza,19,-,Arsenal,?,1999,West Ham,forward
Frédéric Kanouté,22,-,Olympique Lyon,loan transfer,1999,West Ham,forward
Sasa Ilic,27,-,Charlton,loan transfer,1999,West Ham,goalkeeper
Stevland Angus,18,-,West Ham U18,-,1999,West Ham,defender
Shaun Byrne,18,-,West Ham U18,-,1999,West Ham,defender
Michael Carrick,17,-,West Ham U18,-,1999,West Ham,midfielder
Richard García,17,-,West Ham U18,-,1999,West Ham,forward
Bertie Brayley,17,-,West Ham U18,-,1999,West Ham,forward
Terrell Forbes,17,-,West Ham U18,-,1999,West Ham,defender
Grant McCann,19,-,Livingston FC,"End of loanSep 1, 1999",1999,West Ham,midfielder
Shaun Byrne,19,-,Bristol Rovers,"End of loanFeb 1, 2000",1999,West Ham,defender
Paul Kitson,29,-,Charlton,"End of loanMay 1, 2000",1999,West Ham,forward
Alex O'Reilly,19,-,Northampton,"End of loanAug 19, 1999",1999,West Ham,goalkeeper
Alex O'Reilly,20,-,Northampton,"End of loanMay 8, 2000",1999,West Ham,goalkeeper
Samassi Abou,26,-,Walsall,"End of loanNov 9, 1999",1999,West Ham,forward
Samassi Abou,27,-,Kilmarnock FC,"End of loanMay 8, 2000",1999,West Ham,forward
Gary Alexander,20,-,Exeter City,"End of loanMay 1, 2000",1999,West Ham,forward
Michael Carrick,18,-,Birmingham,"End of loanMar 1, 2000",1999,West Ham,midfielder
Michael Carrick,18,-,Swindon Town,"End of loanDec 1, 1999",1999,West Ham,midfielder
Stephen Bywater,18,-,Wycombe,"End of loanNov 4, 1999",1999,West Ham,goalkeeper
Stephen Bywater,18,-,Hull City,"End of loanJan 10, 2000",1999,West Ham,goalkeeper
Terrell Forbes,18,-,Bournemouth,"End of loanNov 4, 1999",1999,West Ham,defender
Manny Omoyinmi,21,-,Gillingham FC,"End of loanNov 20, 1999",1999,West Ham,forward
Manny Omoyinmi,22,-,Scunthorpe Utd.,"End of loanFeb 21, 2000",1999,West Ham,forward
Manny Omoyinmi,22,-,Barnet,"End of loanApr 30, 2000",1999,West Ham,forward
Ian Wright,35,-,Nottm Forest,"End of loanOct 26, 1999",1999,West Ham,forward
Marc-Vivien Foé,23,-,Lens,€6.00m,1998,West Ham,midfielder
Paolo Di Canio,30,-,Sheff Wed,€2.23m,1998,West Ham,forward
Scott Minto,27,-,Benfica,€1.50m,1998,West Ham,defender
Ian Wright,34,-,Arsenal,€750k,1998,West Ham,forward
Neil Ruddock,30,-,Liverpool,€350k,1998,West Ham,defender
Daniel Sjölund,15,-,Brommapojkarna,€265k,1998,West Ham,midfielder
Jimmy Bullard,20,-,GNFC,€45k,1998,West Ham,midfielder
Shaka Hislop,29,-,Newcastle,free transfer,1998,West Ham,goalkeeper
Marc Keller,30,-,Karlsruher SC,free transfer,1998,West Ham,midfielder
Gavin Holligan,18,-,Kingstonian FC,?,1998,West Ham,forward
Javier Margas,29,-,U. Católica,?,1998,West Ham,defender
Jamie Coyne,17,-,Perth SC,?,1998,West Ham,defender
Izzy Iriekpen,16,-,West Ham U18,-,1998,West Ham,defender
Joe Cole,16,-,West Ham U18,-,1998,West Ham,midfielder
Stephen Purches,18,-,West Ham U18,-,1998,West Ham,midfielder
Grant McCann,18,-,West Ham U18,-,1998,West Ham,midfielder
Tim Breacker,33,-,QPR,"End of loanNov 1, 1998",1998,West Ham,defender
Lee Boylan,20,-,Kingstonian FC,"End of loanDec 31, 1998",1998,West Ham,forward
Samassi Abou,25,-,Ipswich,"End of loanDec 29, 1998",1998,West Ham,forward
Chris Coyne,20,-,Southend United,"End of loanMay 1, 1999",1998,West Ham,defender
Chris Coyne,19,-,Brentford,"End of loanSep 1, 1998",1998,West Ham,defender
Joe Keith,20,-,Waterford Utd,"End of loanJan 5, 1999",1998,West Ham,midfielder
Scott Mean,24,-,Port Vale,"End of loanAug 1, 1998",1998,West Ham,midfielder
Lee Hodges,20,-,Ipswich,"End of loanDec 21, 1998",1998,West Ham,midfielder
Lee Hodges,21,-,Southend United,"End of loanMay 9, 1999",1998,West Ham,midfielder
Manny Omoyinmi,21,-,Leyton Orient,"End of loanApr 19, 1999",1998,West Ham,forward
Ian Pearce,23,-,Blackburn,€3.60m,1997,West Ham,defender
Trevor Sinclair,24,-,QPR,€3.05m,1997,West Ham,forward
Eyal Berkovic,25,-,Maccabi Haifa,€2.70m,1997,West Ham,midfielder
Andy Impey,25,-,QPR,€1.68m,1997,West Ham,midfielder
Craig Forrest,29,-,Ipswich,€750k,1997,West Ham,goalkeeper
Stephen Bywater,16,-,Rochdale,€450k,1997,West Ham,goalkeeper
Samassi Abou,24,-,Cannes,€375k,1997,West Ham,forward
Ian Thomas-Moore,21,-,Nottm Forest,free transfer,1997,West Ham,forward
Mohammed Berthé,25,-,AC Ajaccio,?,1997,West Ham,forward
David Unsworth,23,-,Everton,?,1997,West Ham,defender
David Terrier,23,-,FC Metz,?,1997,West Ham,defender
Bernard Lama,34,-,Paris SG,?,1997,West Ham,goalkeeper
Paulo Alves,27,-,Sporting CP,loan transfer,1997,West Ham,forward
Alex O'Reilly,17,-,West Ham U18,-,1997,West Ham,goalkeeper
Joe Keith,18,-,West Ham U18,-,1997,West Ham,midfielder
Gary Alexander,17,-,West Ham U18,-,1997,West Ham,forward
Les Sealey,40,-,Bury,"End of loanMay 1, 1998",1997,West Ham,goalkeeper
Neil Finn,19,-,Dorchester,"End of loanMay 31, 1998",1997,West Ham,goalkeeper
Lee Hodges,19,-,Plymouth,"End of loanJan 9, 1998",1997,West Ham,midfielder
Manny Omoyinmi,20,-,Dundee United,"End of loanMar 26, 1998",1997,West Ham,forward
John Hartson,21,-,Arsenal,€5.00m,1996,West Ham,forward
Paul Kitson,26,-,Newcastle,€3.50m,1996,West Ham,forward
Steve Lomas,23,-,Man City,€2.40m,1996,West Ham,midfielder
Richard Hall,24,-,Southampton,€1.70m,1996,West Ham,defender
Florin Răducioiu,26,-,Espanyol,Loan fee:€1.60m,1996,West Ham,forward
Stan Lazaridis,23,-,West Adelaide SC,€450k,1996,West Ham,midfielder
Scott Mean,22,-,Bournemouth,€150k,1996,West Ham,midfielder
Mark Bowen,32,-,Norwich,free transfer,1996,West Ham,defender
Paulo Futre,30,-,Milan,free transfer,1996,West Ham,forward
Mike Newell,31,-,Birmingham,loan transfer,1996,West Ham,forward
Les Sealey,39,-,Leyton Orient,?,1996,West Ham,goalkeeper
Porfírio,22,-,Sporting CP,loan transfer,1996,West Ham,forward
Lee Boylan,17,-,West Ham U18,-,1996,West Ham,forward
Chris Coyne,17,-,West Ham U18,-,1996,West Ham,defender
David Partridge,17,-,West Ham U18,-,1996,West Ham,defender
Lee Hodges,18,-,West Ham U18,-,1996,West Ham,midfielder
Steve Mautone,26,-,Crewe Alexandra,"End of loanSep 14, 1996",1996,West Ham,goalkeeper
Steve Mautone,26,-,Reading,"End of loanMar 26, 1997",1996,West Ham,goalkeeper
Rio Ferdinand,18,-,Bournemouth,"End of loanDec 31, 1996",1996,West Ham,defender
Lee Hodges,18,-,Exeter City,"End of loanDec 14, 1996",1996,West Ham,midfielder
Lee Hodges,19,-,Leyton Orient,"End of loanMar 16, 1997",1996,West Ham,midfielder
Manny Omoyinmi,18,-,Bournemouth,"End of loanNov 10, 1996",1996,West Ham,forward
Slaven Bilic,27,-,Karlsruher SC,€1.65m,1995,West Ham,defender
Ilie Dumitrescu,26,-,Tottenham,€1.50m,1995,West Ham,forward
Marco Boogers,28,-,Sparta R.,€725k,1995,West Ham,forward
Iain Dowie,30,-,Crystal Palace,€600k,1995,West Ham,forward
Steve Jones,26,-,Bournemouth,€249k,1995,West Ham,forward
Peter Shilton,46,-,Coventry,free transfer,1995,West Ham,goalkeeper
Mark Watson,21,-,Cambridge Utd.,"End of loanDec 27, 1995",1995,West Ham,forward
John Harkes,28,-,Derby,?,1995,West Ham,midfielder
Robbie Slater,30,-,Blackburn,?,1995,West Ham,midfielder
Dale Gordon,28,-,Peterborough,?,1995,West Ham,midfielder
Steve Mautone,25,-,Cosmos Canberra,?,1995,West Ham,goalkeeper
Dani,19,-,Sporting CP,loan transfer,1995,West Ham,midfielder
Neil Finn,16,-,West Ham Res.,-,1995,West Ham,goalkeeper
Rio Ferdinand,16,-,West Ham U18,-,1995,West Ham,defender
Frank Lampard,17,-,West Ham U18,-,1995,West Ham,midfielder
Manny Omoyinmi,17,-,West Ham U18,-,1995,West Ham,forward
Darren Currie,21,-,Leyton Orient,"End of loanFeb 6, 1996",1995,West Ham,midfielder
Simon Webster,32,-,Derby,"End of loanMay 31, 1996",1995,West Ham,defender
Adrian Whitbread,24,-,Portsmouth,"End of loanMay 31, 1996",1995,West Ham,defender
Frank Lampard,17,-,Swansea,"End of loanJan 1, 1996",1995,West Ham,midfielder
Trevor Morley,34,-,Brann,"End of loanJul 17, 1995",1995,West Ham,forward
Mark Watson,21,-,Leyton Orient,"End of loanOct 4, 1995",1995,West Ham,forward
Mark Watson,22,-,Shrewsbury,"End of loanMar 2, 1996",1995,West Ham,forward
Don Hutchison,19,-,Liverpool,€2.25m,1994,West Ham,midfielder
Marc Rieper,26,-,Bröndby IF,€1.70m,1994,West Ham,defender
Julian Dicks,26,-,Liverpool,€1.50m,1994,West Ham,defender
Joey Beauchamp,23,-,Oxford United,€1.40m,1994,West Ham,midfielder
John Moncur,27,-,Swindon Town,€900k,1994,West Ham,midfielder
Adrian Whitbread,22,-,Swindon Town,€623k,1994,West Ham,defender
Les Sealey,37,-,Blackpool,free transfer,1994,West Ham,goalkeeper
Michael Hughes,23,-,R. Strasbourg,free transfer,1994,West Ham,midfielder
Ian Feuer,23,-,LA Salsa,?,1994,West Ham,goalkeeper
Tony Cottee,29,-,Everton,?,1994,West Ham,forward
Mark Watson,21,-,Sutton Utd,?,1994,West Ham,forward
Dieter Eckstein,30,-,FC Schalke 04,?,1994,West Ham,forward
Jamie Victory,18,-,West Ham U18,-,1994,West Ham,defender
Darren Currie,20,-,Shrewsbury,"End of loanMay 31, 1995",1994,West Ham,midfielder
Simon Webster,31,-,Oldham Athletic,"End of loanMay 31, 1995",1994,West Ham,defender
Ian Feuer,24,-,Peterborough,"End of loanMay 31, 1995",1994,West Ham,goalkeeper
Jeroen Boere,26,-,Portsmouth,"End of loanJun 30, 1994",1994,West Ham,forward
Jeroen Boere,27,-,West Brom,"End of loanDec 31, 1994",1994,West Ham,forward
Lee Chapman,35,-,Southend United,"End of loanJan 18, 1995",1994,West Ham,forward
Dale Gordon,26,-,Rangers,€850k,1993,West Ham,midfielder
Simon Webster,29,-,Charlton,€650k,1993,West Ham,defender
Lee Chapman,33,-,Portsmouth,€313k,1993,West Ham,forward
Keith Rowland,21,-,Bournemouth,€165k,1993,West Ham,defender
Malcolm McPherson,19,-,Yeovil Town,€36k,1993,West Ham,forward
Gerry Peyton,37,-,Everton,free transfer,1993,West Ham,goalkeeper
Mike Marsh,24,-,Liverpool,free transfer,1993,West Ham,midfielder
Gary Kelly,27,-,Bury,loan transfer,1993,West Ham,goalkeeper
Paul Mitchell,22,-,Bournemouth,?,1993,West Ham,midfielder
David Burrows,24,-,Liverpool,?,1993,West Ham,defender
Jeroen Boere,25,-,Go Ahead Eagles,?,1993,West Ham,forward
Colin Foster,29,-,Notts County,"End of loanMar 22, 1994",1993,West Ham,defender
Mike Small,31,-,Wolves,"End of loanOct 3, 1993",1993,West Ham,forward
Matthew Rush,22,-,Swansea,"End of loanMay 31, 1994",1993,West Ham,forward
Danny Williamson,20,-,Doncaster,"End of loanMay 31, 1994",1993,West Ham,midfielder
Trevor Morley,32,-,Brann,"End of loanSep 1, 1993",1993,West Ham,forward
Iván Ramis,27,€6.00m,RCD Mallorca,€6.00m,2012,Wigan,defender
Arouna Koné,28,€7.00m,Levante,€3.80m,2012,Wigan,forward
Fraser Fyvie,19,€1.00m,Aberdeen FC,€635k,2012,Wigan,midfielder
Paul Scharner,32,€1.50m,Hamburger SV,Loan fee:€100k,2012,Wigan,midfielder
Róger Espinoza,26,€600k,Kansas City,free transfer,2012,Wigan,midfielder
Ryo Miyaichi,19,€3.00m,Arsenal,loan transfer,2012,Wigan,forward
Joel Robles,22,€2.00m,Atlético Madrid,loan transfer,2012,Wigan,goalkeeper
Jack Phillips,18,-,Wigan U18,-,2012,Wigan,midfielder
Ángelo Henríquez,18,€5.00m,Man Utd,loan transfer,2012,Wigan,forward
Rob Kiernan,21,-,Burton Albion,"End of loanOct 28, 2012",2012,Wigan,defender
Rob Kiernan,22,-,Brentford,"End of loanMay 31, 2013",2012,Wigan,defender
Román Golobart,20,€250k,Tranmere Rovers,"End of loanOct 4, 2012",2012,Wigan,defender
Nouha Dicko,20,-,Blackpool,"End of loanJan 3, 2013",2012,Wigan,forward
Adam Dawson,19,-,Accrington,"End of loanAug 30, 2012",2012,Wigan,forward
Jordan Mustoe,22,-,Carlisle United,"End of loanMay 31, 2013",2012,Wigan,defender
Lee Nicholls,20,€250k,Northampton,"End of loanMay 31, 2013",2012,Wigan,goalkeeper
Mauro Boselli,27,€3.50m,Estudiantes LP,"End of loanJun 30, 2012",2012,Wigan,forward
David Jones,28,€1.50m,Blackburn,"End of loanMay 5, 2013",2012,Wigan,midfielder
Nouha Dicko,21,-,Wolves,"End of loanMay 31, 2013",2012,Wigan,forward
Jordan Mustoe,21,-,Morecambe FC,"End of loanJan 2, 2013",2012,Wigan,defender
Rob Kiernan,21,-,Brentford,"End of loanJan 2, 2013",2012,Wigan,defender
Jean Beausejour,27,€2.00m,Birmingham,€4.70m,2011,Wigan,defender
Ali Al-Habsi,29,€2.00m,Bolton,€4.30m,2011,Wigan,goalkeeper
Albert Crusat,29,€4.00m,UD Almería,€2.25m,2011,Wigan,forward
Shaun Maloney,28,€1.75m,Celtic,€1.13m,2011,Wigan,midfielder
Adam Dawson,18,€25k,Bury FC U18,free transfer,2011,Wigan,forward
Nouha Dicko,19,-,R. Strasbourg B,free transfer,2011,Wigan,forward
Rob Kiernan,20,€50k,Watford,free transfer,2011,Wigan,defender
David Jones,26,€2.50m,Wolves,free transfer,2011,Wigan,midfielder
Patrick van Aanholt,21,€1.50m,Chelsea,loan transfer,2011,Wigan,defender
Tim Chow,17,-,Wigan U18,-,2011,Wigan,midfielder
Steven Boothman,18,-,Wigan U18,-,2011,Wigan,midfielder
Adam Buxton,19,-,Wigan U18,-,2011,Wigan,defender
Román Golobart,19,-,Wigan U21,-,2011,Wigan,defender
Mauro Boselli,26,€5.50m,Genoa,"End of loanJun 30, 2011",2011,Wigan,forward
Antonio Amaya,28,€800k,Rayo Vallecano,"End of loanJun 30, 2011",2011,Wigan,defender
Román Golobart,20,€150k,Inverness CT,"End of loanMay 13, 2012",2011,Wigan,defender
Rob Kiernan,21,-,Accrington,"End of loanMay 31, 2012",2011,Wigan,defender
Lee Nicholls,19,€250k,Accrington,"End of loanMay 1, 2012",2011,Wigan,goalkeeper
Jordan Mustoe,21,-,Barnet,"End of loanMay 31, 2012",2011,Wigan,defender
Chris Kirkland,30,€3.00m,Doncaster,"End of loanOct 20, 2011",2011,Wigan,goalkeeper
Callum McManaman,20,-,Blackpool,"End of loanJan 23, 2012",2011,Wigan,forward
Nouha Dicko,20,-,Blackpool,"End of loanMay 31, 2012",2011,Wigan,forward
Daniel Redmond,21,€50k,Hamilton Acad.,"End of loanMay 6, 2012",2011,Wigan,midfielder
Ronnie Stam,26,€3.50m,Twente FC,€4.00m,2010,Wigan,defender
Mauro Boselli,25,€7.50m,Estudiantes LP,€3.70m,2010,Wigan,forward
Franco Di Santo,21,€2.50m,Chelsea,€2.40m,2010,Wigan,forward
Conor Sammon,24,€300k,Kilmarnock FC,€700k,2010,Wigan,forward
James McArthur,22,€1.75m,Hamilton Acad.,€600k,2010,Wigan,midfielder
Steven Caldwell,29,€2.50m,Burnley,free transfer,2010,Wigan,defender
Antolín Alcaraz,27,€3.00m,Club Brugge,free transfer,2010,Wigan,defender
Adrián López,23,€500k,Dep. La Coruña,free transfer,2010,Wigan,defender
Tom Cleverley,21,€750k,Man Utd,loan transfer,2010,Wigan,midfielder
Ali Al-Habsi,28,€750k,Bolton,loan transfer,2010,Wigan,goalkeeper
Lee Nicholls,17,-,Wigan U18,-,2010,Wigan,goalkeeper
Callum McManaman,19,€50k,Wigan U21,-,2010,Wigan,forward
Jordan Rugg,19,-,Wigan U18,-,2010,Wigan,forward
Daniel Redmond,19,-,Wigan U21,-,2010,Wigan,midfielder
Lee Nicholls,18,-,Hartlepool,"End of loanDec 1, 2010",2010,Wigan,goalkeeper
Rachid Bouaouzan,26,€500k,Helsingborgs IF,"End of loanJun 30, 2010",2010,Wigan,midfielder
Olivier Kapo,29,€1.80m,US Boulogne,"End of loanJun 30, 2010",2010,Wigan,midfielder
Chris Kirkland,29,€5.50m,Leicester,"End of loanJan 5, 2011",2010,Wigan,goalkeeper
Daniël de Ridder,26,€1.25m,Hapoel Tel Aviv,"End of loanJun 30, 2010",2010,Wigan,forward
Won-hee Cho,27,€1.50m,Suwon Bluewings,"End of loanDec 31, 2010",2010,Wigan,midfielder
Lee Nicholls,18,-,Shrewsbury,"End of loanFeb 1, 2011",2010,Wigan,goalkeeper
Jason Koumas,31,€2.00m,Cardiff,"End of loanMay 31, 2011",2010,Wigan,midfielder
Lee Nicholls,18,€50k,Sheff Wed,"End of loanMay 1, 2011",2010,Wigan,goalkeeper
James McCarthy,18,€1.25m,Hamilton Acad.,€5.10m,2009,Wigan,midfielder
Victor Moses,19,€1.25m,Crystal Palace,€3.00m,2009,Wigan,midfielder
Mohamed Diamé,22,€2.00m,Rayo Vallecano,€3.00m,2009,Wigan,midfielder
Jordi Gómez,24,€1.50m,Espanyol,€2.45m,2009,Wigan,midfielder
Jason Scotland,30,€1.50m,Swansea,€2.30m,2009,Wigan,forward
Gary Caldwell,27,€5.25m,Celtic,€1.10m,2009,Wigan,defender
Antonio Amaya,26,€600k,Rayo Vallecano,€800k,2009,Wigan,defender
Marcelo Moreno,22,€3.50m,Shakhtar D.,Loan fee:€685k,2009,Wigan,forward
Steve Gohouri,28,€750k,Bor. M'gladbach,free transfer,2009,Wigan,defender
Scott Sinclair,20,€1.00m,Chelsea,loan transfer,2009,Wigan,forward
Vladimir Stojkovic,26,€900k,Sporting CP,loan transfer,2009,Wigan,goalkeeper
Hendry Thomas,24,-,CD Olimpia,?,2009,Wigan,midfielder
Jordan Mustoe,18,-,Wigan U18,-,2009,Wigan,defender
Ben Watson,24,€2.20m,QPR,"End of loanJan 1, 2010",2009,Wigan,midfielder
Rachid Bouaouzan,25,€850k,NEC Nijmegen,"End of loanJun 30, 2009",2009,Wigan,midfielder
Ben Watson,24,€2.00m,West Brom,"End of loanApr 1, 2010",2009,Wigan,midfielder
Marlon King,29,€3.50m,Middlesbrough,"End of loanJun 30, 2009",2009,Wigan,forward
Tomasz Cywka,21,€250k,Derby,"End of loanMay 1, 2010",2009,Wigan,midfielder
Charles N'Zogbia,22,€7.00m,Newcastle,€6.40m,2008,Wigan,forward
Hugo Rodallega,23,€4.00m,Necaxa,€4.80m,2008,Wigan,forward
Olivier Kapo,27,€3.50m,Birmingham,€4.40m,2008,Wigan,midfielder
Lee Cattermole,20,€2.00m,Middlesbrough,€4.40m,2008,Wigan,midfielder
Ben Watson,23,€1.75m,Crystal Palace,€2.10m,2008,Wigan,midfielder
Amr Zaki,25,€2.30m,Zamalek,Loan fee:€2.00m,2008,Wigan,forward
Daniël de Ridder,24,€2.00m,Birmingham,free transfer,2008,Wigan,forward
Richard Kingson,30,€500k,Birmingham,free transfer,2008,Wigan,goalkeeper
Mido,25,€4.00m,Middlesbrough,loan transfer,2008,Wigan,forward
Won-hee Cho,25,€1.80m,Suwon Bluewings,?,2008,Wigan,midfielder
Maynor Figueroa,25,€500k,CD Olimpia,?,2008,Wigan,defender
Craig Mahon,19,-,Wigan U18,-,2008,Wigan,midfielder
Luke Ashworth,18,-,Wigan U18,-,2008,Wigan,defender
Andreas Granqvist,23,€2.00m,Helsingborgs IF,"End of loanJun 30, 2008",2008,Wigan,defender
Henri Camara,31,€3.00m,Stoke City,"End of loanMay 1, 2009",2008,Wigan,forward
Antoine Sibierski,34,€1.25m,Norwich,"End of loanJan 18, 2009",2008,Wigan,midfielder
Marlon King,28,€3.00m,Hull City,"End of loanDec 31, 2008",2008,Wigan,forward
Lewis Montrose,20,€100k,Cheltenham,"End of loanFeb 1, 2009",2008,Wigan,midfielder
Lewis Montrose,19,€100k,Cheltenham,"End of loanNov 1, 2008",2008,Wigan,midfielder
Luke Ashworth,18,-,Leyton Orient,"End of loanOct 22, 2008",2008,Wigan,defender
Craig Mahon,19,-,Accrington,"End of loanDec 27, 2008",2008,Wigan,midfielder
Lewis Montrose,20,€100k,Chesterfield FC,"End of loanMay 1, 2009",2008,Wigan,midfielder
Jason Koumas,27,€2.00m,West Brom,€6.90m,2007,Wigan,midfielder
Marlon King,27,€2.25m,Watford,€4.00m,2007,Wigan,forward
Antonio Valencia,22,€2.50m,Villarreal,€2.00m,2007,Wigan,defender
Wilson Palacios,23,€500k,CD Olimpia,€1.30m,2007,Wigan,midfielder
Michael Brown,30,€3.00m,Fulham,€1.30m,2007,Wigan,midfielder
Andreas Granqvist,22,€900k,Helsingborgs IF,€1.00m,2007,Wigan,defender
Erik Edman,29,€3.00m,Stade Rennais,€700k,2007,Wigan,defender
Rachid Bouaouzan,23,€300k,Sparta R.,€450k,2007,Wigan,midfielder
Erik Hagen,32,€1.00m,Zenit S-Pb,Loan fee:€250k,2007,Wigan,defender
Salomon Olembé,26,€1.00m,Marseille,free transfer,2007,Wigan,midfielder
Antoine Sibierski,32,€2.40m,Newcastle,free transfer,2007,Wigan,midfielder
Mario Melchiot,30,€3.50m,Stade Rennais,free transfer,2007,Wigan,defender
Titus Bramble,25,€3.70m,Newcastle,free transfer,2007,Wigan,defender
Marcus Bent,29,€3.75m,Charlton,loan transfer,2007,Wigan,forward
Maynor Figueroa,24,-,CD Olimpia,loan transfer,2007,Wigan,defender
Lewis Montrose,18,-,Wigan U18,-,2007,Wigan,midfielder
Peter Moore,18,-,Wigan U18,-,2007,Wigan,defender
Russell Saunders,18,-,Wigan U18,-,2007,Wigan,goalkeeper
Lewis Montrose,19,€100k,Rochdale,"End of loanMay 1, 2008",2007,Wigan,midfielder
Henri Camara,30,€4.00m,West Ham,"End of loanMay 1, 2008",2007,Wigan,forward
Andy Webster,26,€1.50m,Rangers,"End of loanMay 1, 2008",2007,Wigan,defender
Russell Saunders,19,€100k,Gainsborough,"End of loanApr 1, 2008",2007,Wigan,goalkeeper
Russell Saunders,18,€50k,Altrincham,"End of loanOct 1, 2007",2007,Wigan,goalkeeper
David Cotterill,20,€2.00m,Sheff Utd,"End of loanMay 1, 2008",2007,Wigan,forward
Carlo Nash,34,€300k,Stoke City,"End of loanMay 1, 2008",2007,Wigan,goalkeeper
Emile Heskey,28,€5.50m,Birmingham,€7.50m,2006,Wigan,forward
