Player Name,Age,Position,Market value,Joined,Fee,Year,Club
Gaël Bigirimana,22,midfielder,€75k,Coventry,loan transfer,2015,Newcastle
Shane Ferguson,24,midfielder,€200k,Millwall,loan transfer,2015,Newcastle
Mike Williamson,31,defender,-,Wolves,loan transfer,2015,Newcastle
Florian Thauvin,23,forward,€3.00m,Marseille,loan transfer,2015,Newcastle
Adam Armstrong,18,forward,€16.00m,Coventry,loan transfer,2015,Newcastle
Ivan Toney,20,forward,€50.00m,Barnsley FC,loan transfer,2015,Newcastle
Sammy Ameobi,23,forward,-,Cardiff,loan transfer,2015,Newcastle
Haris Vuckic,23,forward,€500k,Wigan,loan transfer,2015,Newcastle
Sylvain Marveaux,30,midfielder,-,Without Club,-,2015,Newcastle
Gabriel Obertan,27,forward,€100k,Without Club,-,2015,Newcastle
Facundo Ferreyra,24,forward,€125k,Shakhtar D.,"End of loanJun 30, 2015",2015,Newcastle
Mathieu Debuchy,28,defender,-,Arsenal,€15.00m,2014,Newcastle
Mapou Yanga-Mbiwa,25,defender,-,AS Roma,€7.35m,2014,Newcastle
Mapou Yanga-Mbiwa,25,defender,-,AS Roma,Loan fee:€1.26m,2014,Newcastle
Sylvain Marveaux,28,midfielder,-,Guingamp,Loan fee:€160k,2014,Newcastle
James Tavernier,22,defender,€6.50m,Wigan,€100k,2014,Newcastle
Shola Ameobi,32,forward,-,Gaziantep BB,free transfer,2014,Newcastle
Steven Logan,19,midfielder,-,Annan Athletic,free transfer,2014,Newcastle
Conor Newton,22,midfielder,-,Rotherham,free transfer,2014,Newcastle
Dan Gosling,24,midfielder,-,Bournemouth,free transfer,2014,Newcastle
Romain Amalfitano,24,midfielder,€200k,Dijon,free transfer,2014,Newcastle
Karl Darlow,23,goalkeeper,€300k,Nottm Forest,loan transfer,2014,Newcastle
Jamaal Lascelles,20,defender,€7.00m,Nottm Forest,loan transfer,2014,Newcastle
Adam Campbell,19,forward,€125k,Fleetwood,loan transfer,2014,Newcastle
Adam Campbell,19,forward,€125k,Hartlepool,loan transfer,2014,Newcastle
Freddie Woodman,17,goalkeeper,€3.50m,Hartlepool,loan transfer,2014,Newcastle
Davide Santon,24,defender,-,Inter,loan transfer,2014,Newcastle
Jak Alnwick,21,goalkeeper,€500k,Bradford,loan transfer,2014,Newcastle
Adam Campbell,20,forward,€125k,Gateshead,loan transfer,2014,Newcastle
Haris Vuckic,22,forward,€500k,Rangers,loan transfer,2014,Newcastle
Kevin Mbabu,19,defender,€4.00m,Rangers,loan transfer,2014,Newcastle
Gaël Bigirimana,21,midfielder,€75k,Rangers,loan transfer,2014,Newcastle
Shane Ferguson,23,midfielder,€200k,Rangers,loan transfer,2014,Newcastle
Hatem Ben Arfa,27,midfielder,-,Hull City,loan transfer,2014,Newcastle
Hatem Ben Arfa,27,midfielder,-,Without Club,-,2014,Newcastle
Luuk de Jong,23,forward,€3.50m,Bor. M'gladbach,"End of loanJun 30, 2014",2014,Newcastle
Yohan Cabaye,28,midfielder,-,Paris SG,€25.00m,2013,Newcastle
James Perch,27,defender,-,Wigan,€870k,2013,Newcastle
Steve Harper,38,goalkeeper,-,Hull City,free transfer,2013,Newcastle
Danny Simpson,26,defender,-,QPR,free transfer,2013,Newcastle
Steven Logan,18,midfielder,-,Annan Athletic,loan transfer,2013,Newcastle
Adam Campbell,19,forward,€125k,St. Mirren,loan transfer,2013,Newcastle
Dan Gosling,23,midfielder,-,Blackpool,loan transfer,2013,Newcastle
Adam Campbell,18,forward,€125k,Carlisle United,loan transfer,2013,Newcastle
Romain Amalfitano,24,midfielder,€200k,Dijon,loan transfer,2013,Newcastle
James Tavernier,21,defender,€6.50m,Shrewsbury,loan transfer,2013,Newcastle
Mehdi Abeid,20,midfielder,€1.00m,Panathinaikos,loan transfer,2013,Newcastle
James Tavernier,22,defender,€6.50m,Rotherham,loan transfer,2013,Newcastle
Haris Vuckic,21,forward,€500k,Rotherham,loan transfer,2013,Newcastle
Conor Newton,21,midfielder,-,St. Mirren,loan transfer,2013,Newcastle
Curtis Good,20,defender,€500k,Dundee United,loan transfer,2013,Newcastle
Jonás Gutiérrez,30,midfielder,-,Norwich,loan transfer,2013,Newcastle
Loïc Rémy,27,forward,-,QPR,"End of loanMay 31, 2014",2013,Newcastle
Demba Ba,27,forward,-,Chelsea,€8.50m,2012,Newcastle
Leon Best,25,forward,-,Blackburn,€3.80m,2012,Newcastle
Fraser Forster,24,goalkeeper,€1.20m,Celtic,€2.50m,2012,Newcastle
Ryan McGorrigan,19,forward,-,Gateshead,free transfer,2012,Newcastle
Danny Guthrie,25,midfielder,-,Reading,free transfer,2012,Newcastle
Alan Smith,31,midfielder,-,MK Dons,free transfer,2012,Newcastle
Xisco,26,forward,-,Córdoba CF,free transfer,2012,Newcastle
Ryan Donaldson,21,forward,-,Gateshead,free transfer,2012,Newcastle
Phil Airey,21,forward,-,Blyth Spartans,free transfer,2012,Newcastle
Peter Løvenkrands,32,forward,-,Birmingham,free transfer,2012,Newcastle
Tamás Kádár,22,defender,€300k,Roda JC,free transfer,2012,Newcastle
Curtis Good,19,defender,€500k,Bradford,loan transfer,2012,Newcastle
Sammy Ameobi,20,forward,-,Middlesbrough,loan transfer,2012,Newcastle
Mehdi Abeid,20,midfielder,€1.00m,St. Johnstone,loan transfer,2012,Newcastle
Shane Ferguson,21,midfielder,€200k,Birmingham,loan transfer,2012,Newcastle
Paul Dummett,20,defender,€900k,St. Mirren,loan transfer,2012,Newcastle
Conor Newton,21,midfielder,-,St. Mirren,loan transfer,2012,Newcastle
Paul Dummett,21,defender,€900k,St. Mirren,loan transfer,2012,Newcastle
Nile Ranger,21,forward,-,Without Club,-,2012,Newcastle
José Enrique,25,defender,-,Liverpool,€8.00m,2011,Newcastle
Kevin Nolan,29,midfielder,-,West Ham,€3.40m,2011,Newcastle
Wayne Routledge,26,forward,-,Swansea,€3.25m,2011,Newcastle
Kazenga LuaLua,21,forward,€100k,Brighton,€1.28m,2011,Newcastle
Fraser Forster,23,goalkeeper,€1.20m,Celtic,Loan fee:€115k,2011,Newcastle
Ole Söderberg,21,goalkeeper,-,Molde FK,free transfer,2011,Newcastle
Matthew Grieve,20,defender,-,Ashington AFC,free transfer,2011,Newcastle
Ben Tozer,21,defender,€100k,Northampton,free transfer,2011,Newcastle
Joey Barton,28,midfielder,-,QPR,free transfer,2011,Newcastle
Shefki Kuqi,34,forward,-,Oldham Athletic,free transfer,2011,Newcastle
Nile Ranger,20,forward,-,Sheff Wed,loan transfer,2011,Newcastle
Ole Söderberg,21,goalkeeper,-,Chesterfield FC,loan transfer,2011,Newcastle
Ole Söderberg,21,goalkeeper,-,Darlington,loan transfer,2011,Newcastle
Jak Alnwick,18,goalkeeper,€500k,Gateshead,loan transfer,2011,Newcastle
Ryan Donaldson,20,forward,-,Tranmere Rovers,loan transfer,2011,Newcastle
James Tavernier,19,defender,€6.50m,Carlisle United,loan transfer,2011,Newcastle
James Tavernier,20,defender,€6.50m,Sheff Wed,loan transfer,2011,Newcastle
Nile Ranger,20,forward,-,Barnsley FC,loan transfer,2011,Newcastle
Alan Smith,31,midfielder,-,MK Dons,loan transfer,2011,Newcastle
Phil Airey,21,forward,-,Gateshead,loan transfer,2011,Newcastle
James Tavernier,20,defender,€6.50m,MK Dons,loan transfer,2011,Newcastle
Steve Harper,36,goalkeeper,-,Brighton,loan transfer,2011,Newcastle
Haris Vuckic,19,forward,€500k,Cardiff,loan transfer,2011,Newcastle
Phil Airey,20,forward,-,Hibernian FC,loan transfer,2011,Newcastle
Kazenga LuaLua,20,forward,€100k,Brighton,loan transfer,2011,Newcastle
Sol Campbell,36,defender,-,Retired,-,2011,Newcastle
Andy Carroll,22,forward,€250k,Liverpool,€41.00m,2010,Newcastle
Fraser Forster,22,goalkeeper,€1.20m,Celtic,Loan fee:€750k,2010,Newcastle
Kazenga LuaLua,19,forward,€100k,Brighton,loan transfer,2010,Newcastle
Xisco,24,forward,-,Dep. La Coruña,loan transfer,2010,Newcastle
Wayne Routledge,26,forward,-,QPR,loan transfer,2010,Newcastle
Ryan Donaldson,19,forward,-,Hartlepool,loan transfer,2010,Newcastle
Tamás Kádár,20,defender,€300k,Huddersfield,loan transfer,2010,Newcastle
Matthew Grieve,20,defender,-,Stockport,loan transfer,2010,Newcastle
Ben Tozer,20,defender,€100k,Northampton,loan transfer,2010,Newcastle
Jonny Godsmark,20,forward,-,Without Club,-,2010,Newcastle
Wesley Ngo Baheng,20,forward,-,Without Club,-,2010,Newcastle
Nicky Butt,35,midfielder,-,Career break,-,2010,Newcastle
Fabrice Pancrate,30,forward,-,Without Club,-,2010,Newcastle
Hatem Ben Arfa,23,midfielder,-,Marseille,"End of loanDec 31, 2010",2010,Newcastle
Stephen Ireland,24,midfielder,-,Aston Villa,"End of loanMay 31, 2011",2010,Newcastle
Fitz Hall,29,defender,-,QPR,"End of loanJun 1, 2010",2010,Newcastle
James Milner,22,midfielder,€1.00m,Aston Villa,€15.00m,2008,Newcastle
Shay Given,32,goalkeeper,-,Man City,€9.00m,2008,Newcastle
Charles N'Zogbia,22,forward,-,Wigan,€6.40m,2008,Newcastle
Emre Belözoğlu,27,midfielder,-,Fenerbahce,€4.50m,2008,Newcastle
David Rozehnal,27,defender,-,Lazio,€3.60m,2008,Newcastle
Abdoulaye Faye,30,defender,-,Stoke City,€2.90m,2008,Newcastle
Peter Ramage,24,defender,-,QPR,free transfer,2008,Newcastle
Mark Cook,19,goalkeeper,-,Hartlepool,free transfer,2008,Newcastle
James Troisi,20,midfielder,-,Genclerbirligi,free transfer,2008,Newcastle
Tim Krul,20,goalkeeper,€500k,Carlisle United,loan transfer,2008,Newcastle
Fabio Zamblera,18,forward,-,Sampdoria U19,loan transfer,2008,Newcastle
Kazenga LuaLua,18,forward,€100k,Doncaster,loan transfer,2008,Newcastle
Fraser Forster,20,goalkeeper,€1.20m,Stockport,loan transfer,2008,Newcastle
Stephen Carr,31,defender,-,Career break,-,2008,Newcastle
Lamine Diatta,32,defender,-,Without Club,-,2008,Newcastle
Kieron Dyer,28,midfielder,-,West Ham,€12.00m,2007,Newcastle
Scott Parker,26,midfielder,-,West Ham,€10.25m,2007,Newcastle
Albert Luque,29,forward,-,Ajax,€8.00m,2007,Newcastle
David Rozehnal,27,defender,-,Lazio,Loan fee:€1.00m,2007,Newcastle
Matthew Pattison,21,midfielder,-,Norwich,€450k,2007,Newcastle
Celestine Babayaro,29,defender,-,Los Angeles,free transfer,2007,Newcastle
Nolberto Solano,32,midfielder,-,West Ham,free transfer,2007,Newcastle
Craig Moore,31,defender,-,Brisbane Roar,free transfer,2007,Newcastle
Alan O'Brien,22,midfielder,-,Hibernian FC,free transfer,2007,Newcastle
Antoine Sibierski,32,midfielder,-,Wigan,free transfer,2007,Newcastle
Titus Bramble,25,defender,-,Wigan,free transfer,2007,Newcastle
Shola Ameobi,26,forward,-,Stoke City,loan transfer,2007,Newcastle
Andy Carroll,18,forward,€250k,Preston,loan transfer,2007,Newcastle
Paul Huntington,19,defender,€75k,Leeds,?,2007,Newcastle
Pavel Srnicek,39,goalkeeper,-,Retired,-,2007,Newcastle
Olivier Bernard,27,defender,-,Retired,-,2007,Newcastle
Oguchi Onyewu,25,defender,-,Standard Liège,"End of loanJun 30, 2007",2007,Newcastle
Jean-Alain Boumsong,26,defender,-,Juventus,€4.00m,2006,Newcastle
Amdy Faye,29,midfielder,-,Charlton,€3.00m,2006,Newcastle
Hugo Viana,23,midfielder,-,Valencia,€2.30m,2006,Newcastle
Lee Bowyer,29,midfielder,-,West Ham,€1.13m,2006,Newcastle
Michael Chopra,22,forward,-,Cardiff,€750k,2006,Newcastle
Daryl Smylie,20,midfielder,-,Livingston FC,free transfer,2006,Newcastle
Liam Atkin,20,defender,-,Carlisle United,free transfer,2006,Newcastle
Robbie Elliott,32,defender,-,Sunderland,free transfer,2006,Newcastle
Martin Brittain,21,midfielder,-,Ipswich,free transfer,2006,Newcastle
Tony Caig,32,goalkeeper,-,Vancouver,free transfer,2006,Newcastle
Lee Clark,33,forward,-,Retired,-,2006,Newcastle
Alan Shearer,35,forward,-,Retired,-,2006,Newcastle
Giuseppe Rossi,19,forward,-,Man Utd,"End of loanDec 31, 2006",2006,Newcastle
Jermaine Jenas,22,midfielder,-,Tottenham,€15.00m,2005,Newcastle
Craig Bellamy,25,forward,-,Blackburn,€7.50m,2005,Newcastle
Andrew O'Brien,26,defender,-,Portsmouth,€3.00m,2005,Newcastle
Laurent Robert,30,forward,-,Portsmouth,Loan fee:€2.30m,2005,Newcastle
Darren Ambrose,21,midfielder,-,Charlton,€1.60m,2005,Newcastle
Aaron Hughes,25,defender,-,Aston Villa,€1.50m,2005,Newcastle
Laurent Robert,30,forward,-,Benfica,free transfer,2005,Newcastle
Patrick Kluivert,29,forward,-,Valencia,free transfer,2005,Newcastle
Stephen Brennan,22,midfielder,-,St. Pat's,free transfer,2005,Newcastle
Jamie McClen,26,midfielder,-,Carlisle United,free transfer,2005,Newcastle
James Milner,19,midfielder,€1.00m,Aston Villa,loan transfer,2005,Newcastle
Alan O'Brien,20,midfielder,-,Carlisle United,loan transfer,2005,Newcastle
Nicky Butt,30,midfielder,-,Birmingham,loan transfer,2005,Newcastle
Daryl Smylie,19,midfielder,-,Stockport,loan transfer,2005,Newcastle
Hugo Viana,22,midfielder,-,Valencia,loan transfer,2005,Newcastle
Guy Bates,20,forward,-,Darlington,?,2005,Newcastle
Jonathan Woodgate,24,defender,-,Real Madrid,€18.30m,2004,Newcastle
Lomana LuaLua,23,forward,-,Portsmouth,€2.25m,2004,Newcastle
Gary Speed,34,midfielder,-,Bolton,€1.13m,2004,Newcastle
Olivier Bernard,25,defender,-,Southampton,€600k,2004,Newcastle
Andy Ferrell,20,midfielder,-,Watford,free transfer,2004,Newcastle
Brian Kerr,22,midfielder,-,Motherwell FC,free transfer,2004,Newcastle
Steven Caldwell,23,defender,-,Sunderland,free transfer,2004,Newcastle
Calvin Zola,19,forward,-,Tranmere Rovers,free transfer,2004,Newcastle
Andy Griffin,25,defender,-,Portsmouth,free transfer,2004,Newcastle
Ronny Johnsen,35,defender,-,Vålerenga,free transfer,2004,Newcastle
Craig Bellamy,25,forward,-,Celtic,loan transfer,2004,Newcastle
Hugo Viana,21,midfielder,-,Sporting CP,loan transfer,2004,Newcastle
Stephen Brennan,21,midfielder,-,Shelbourne,loan transfer,2004,Newcastle
Michael Chopra,20,forward,-,Barnsley FC,loan transfer,2004,Newcastle
Richard Offiong,20,forward,-,Istanbulspor,?,2004,Newcastle
Robert Middleby,28,defender,-,Sydney FC,?,2004,Newcastle
Diego Gavilán,24,midfielder,-,Internacional,?,2004,Newcastle
Carl Cort,26,forward,-,Wolves,€3.00m,2003,Newcastle
Nolberto Solano,29,midfielder,-,Aston Villa,€2.00m,2003,Newcastle
John Karelse,33,goalkeeper,-,AGOVV,free transfer,2003,Newcastle
Nikolaos Dabizas,30,defender,-,Leicester,free transfer,2003,Newcastle
Aaron Labonte,19,defender,-,Dunfermline A.,free transfer,2003,Newcastle
Jonny Brain,20,goalkeeper,-,Port Vale,free transfer,2003,Newcastle
Christian Bassedas,30,midfielder,-,Newell's,free transfer,2003,Newcastle
Clarence Acuña,28,midfielder,-,Rosario Central,free transfer,2003,Newcastle
Gary Caldwell,21,defender,-,Hibernian FC,free transfer,2003,Newcastle
Wayne Quinn,26,defender,-,West Ham,free transfer,2003,Newcastle
Tony Caig,29,goalkeeper,-,Barnsley FC,loan transfer,2003,Newcastle
Steven Taylor,17,defender,-,Wycombe,loan transfer,2003,Newcastle
Michael Chopra,20,forward,-,Nottm Forest,loan transfer,2003,Newcastle
Gary Caldwell,21,defender,-,Derby,loan transfer,2003,Newcastle
Steven Caldwell,23,defender,-,Leeds,loan transfer,2003,Newcastle
Lomana LuaLua,23,forward,-,Portsmouth,loan transfer,2003,Newcastle
Brian Kerr,21,midfielder,-,Livingston FC,loan transfer,2003,Newcastle
Diego Gavilán,23,midfielder,-,Udinese,loan transfer,2003,Newcastle
Brian Kerr,22,midfielder,-,Coventry,loan transfer,2003,Newcastle
Calvin Zola,18,forward,-,Oldham Athletic,loan transfer,2003,Newcastle
Michael Bridges,25,forward,-,Leeds,"End of loanMay 1, 2004",2003,Newcastle
Emiliano Buendía,24,forward,€22.00m,Aston Villa,€38.40m,2021,Norwich
Mario Vrancic,32,midfielder,€125k,Stoke City,free transfer,2021,Norwich
Marco Stiepermann,30,midfielder,-,SC Paderborn,free transfer,2021,Norwich
Moritz Leitner,28,midfielder,-,FC Zürich,free transfer,2021,Norwich
Philip Heise,30,defender,€350k,Karlsruher SC,free transfer,2021,Norwich
Louis Thompson,26,midfielder,€200k,Portsmouth,free transfer,2021,Norwich
Ørjan Nyland,30,goalkeeper,€1.40m,Bournemouth,free transfer,2021,Norwich
Tom Trybull,28,midfielder,€350k,Hannover 96,free transfer,2021,Norwich
Bali Mumba,20,defender,€2.50m,Peterborough,loan transfer,2021,Norwich
Daniel Adshead,19,midfielder,€100k,Gillingham FC,loan transfer,2021,Norwich
Jordan Hugill,29,forward,€400k,Cardiff,loan transfer,2021,Norwich
Rocky Bushiri,22,defender,€400k,Hibernian FC,loan transfer,2021,Norwich
Aston Oxborough,23,goalkeeper,€150k,Barnet,loan transfer,2021,Norwich
Jordan Hugill,29,forward,€400k,West Brom,loan transfer,2021,Norwich
Sam McCallum,20,defender,€1.20m,QPR,loan transfer,2021,Norwich
Onel Hernández,28,forward,€800k,Birmingham,loan transfer,2021,Norwich
Josh Martin,19,forward,€300k,MK Dons,loan transfer,2021,Norwich
Sebastian Soto,20,forward,€250k,FC Porto B,loan transfer,2021,Norwich
Josh Martin,20,forward,€300k,Doncaster,loan transfer,2021,Norwich
Danel Sinani,24,forward,€500k,Huddersfield,loan transfer,2021,Norwich
Onel Hernández,28,forward,€800k,Middlesbrough,loan transfer,2021,Norwich
Todd Cantwell,23,midfielder,€8.50m,Bournemouth,loan transfer,2021,Norwich
Sebastian Soto,21,forward,€250k,Livingston FC,loan transfer,2021,Norwich
Daniel Barden,19,goalkeeper,€200k,Livingston FC,loan transfer,2021,Norwich
Akin Famewo,22,defender,€800k,Charlton,loan transfer,2021,Norwich
Melvin Sitti,21,midfielder,-,Without Club,-,2021,Norwich
Timm Klose,33,defender,€25k,Without Club,-,2021,Norwich
Dimitrios Giannoulis,25,defender,€2.80m,PAOK Salonika,"End of loanJun 30, 2021",2021,Norwich
Brandon Williams,21,defender,€2.50m,Man Utd,"End of loanMay 31, 2022",2021,Norwich
Xavi Quintillà,24,defender,€500k,Villarreal,"End of loanJun 30, 2021",2021,Norwich
Billy Gilmour,20,midfielder,€18.00m,Chelsea,"End of loanMay 31, 2022",2021,Norwich
Marcel Franke,26,defender,€700k,Hannover 96,€1.00m,2019,Norwich
Nélson Oliveira,27,forward,€500k,AEK Athens,€1.00m,2019,Norwich
Dennis Srbeny,25,forward,€600k,SC Paderborn,€200k,2019,Norwich
James Husband,26,defender,€450k,Blackpool,free transfer,2019,Norwich
Yanic Wildschut,27,forward,€125k,Maccabi Haifa,free transfer,2019,Norwich
Steven Naismith,32,forward,-,Heart of Midl.,free transfer,2019,Norwich
Tristan Abrahams,20,forward,-,Newport County,free transfer,2019,Norwich
Ivo Pinto,29,defender,€450k,Dinamo Zagreb,free transfer,2019,Norwich
Sam McCallum,19,defender,€1.20m,Coventry,loan transfer,2019,Norwich
Melvin Sitti,19,midfielder,-,FC Sochaux,loan transfer,2019,Norwich
Aston Oxborough,21,goalkeeper,€150k,Wealdstone,loan transfer,2019,Norwich
Sean Raggett,25,defender,€300k,Portsmouth,loan transfer,2019,Norwich
Carlton Morris,24,forward,€13.00m,MK Dons,loan transfer,2019,Norwich
Rocky Bushiri,19,defender,€400k,Blackpool,loan transfer,2019,Norwich
Rocky Bushiri,20,defender,€400k,Sint-Truiden,loan transfer,2019,Norwich
Louis Thompson,25,midfielder,€200k,MK Dons,loan transfer,2019,Norwich
Louis Thompson,24,midfielder,€200k,Shrewsbury,loan transfer,2019,Norwich
James Husband,25,defender,€450k,Blackpool,loan transfer,2019,Norwich
Akin Famewo,21,defender,€800k,St. Mirren,loan transfer,2019,Norwich
Philip Heise,28,defender,€350k,1.FC Nuremberg,loan transfer,2019,Norwich
Carlton Morris,23,forward,€13.00m,Rotherham,loan transfer,2019,Norwich
Matt Jarvis,33,forward,-,Without Club,-,2019,Norwich
Ben Marshall,28,midfielder,-,Without Club,-,2019,Norwich
Mason Bloomfield,22,forward,-,Crawley Town,loan transfer,2019,Norwich
Ralf Fährmann,31,goalkeeper,€200k,FC Schalke 04,"End of loanMar 9, 2020",2019,Norwich
Felix Passlack,21,defender,€1.80m,Bor. Dortmund,"End of loanJun 30, 2019",2019,Norwich
Patrick Roberts,22,forward,€3.20m,Man City,"End of loanJan 1, 2020",2019,Norwich
Ibrahim Amadou,26,midfielder,€1.00m,Sevilla FC,"End of loanJan 30, 2020",2019,Norwich
Lewis Grabban,27,forward,€100k,Bournemouth,€9.35m,2015,Norwich
Bradley Johnson,28,midfielder,-,Derby,€8.10m,2015,Norwich
Gary Hooper,27,forward,-,Sheff Wed,€3.90m,2015,Norwich
Cameron McGeehan,20,midfielder,€375k,Luton,€140k,2015,Norwich
Carlos Cuéllar,33,defender,-,UD Almería,free transfer,2015,Norwich
Ignasi Miquel,22,defender,€1.20m,Ponferradina,free transfer,2015,Norwich
Javier Garrido,30,defender,-,UD Las Palmas,free transfer,2015,Norwich
Mark Bunn,30,goalkeeper,-,Aston Villa,free transfer,2015,Norwich
Remi Matthews,22,goalkeeper,€500k,Doncaster,loan transfer,2015,Norwich
Vadis Odjidja-Ofoe,26,midfielder,-,Rotherham,loan transfer,2015,Norwich
Gary Hooper,27,forward,-,Sheff Wed,loan transfer,2015,Norwich
Tony Andreu,27,midfielder,-,Rotherham,loan transfer,2015,Norwich
James Maddison,19,midfielder,€70.00m,Coventry,loan transfer,2015,Norwich
Jake Kean,24,goalkeeper,-,Colchester Utd.,loan transfer,2015,Norwich
Jamar Loza,21,forward,-,Stevenage,loan transfer,2015,Norwich
Kyle Lafferty,28,forward,-,Birmingham,loan transfer,2015,Norwich
Elliott Bennett,26,midfielder,€100k,Bristol City,loan transfer,2015,Norwich
Jacob Murphy,20,forward,€15.00m,Coventry,loan transfer,2015,Norwich
Remi Matthews,21,goalkeeper,€500k,Burton Albion,loan transfer,2015,Norwich
Jamar Loza,21,forward,-,Southend United,loan transfer,2015,Norwich
Louis Thompson,20,midfielder,€200k,Swindon Town,loan transfer,2015,Norwich
Jake Kean,25,goalkeeper,-,Swindon Town,loan transfer,2015,Norwich
Elliott Bennett,27,midfielder,€100k,Blackburn,?,2015,Norwich
Michael Turner,31,defender,-,Sheff Wed,loan transfer,2015,Norwich
Ricky van Wolfswinkel,26,forward,€550k,Real Betis,loan transfer,2015,Norwich
Josh Murphy,20,forward,€500k,MK Dons,loan transfer,2015,Norwich
Conor McGrandles,20,midfielder,€200k,Falkirk,loan transfer,2015,Norwich
Matt Jarvis,29,forward,-,West Ham,"End of loanJan 1, 2016",2015,Norwich
Andre Wisdom,23,defender,-,Liverpool,"End of loanMay 31, 2016",2015,Norwich
Patrick Bamford,22,forward,€4.00m,Chelsea,"End of loanMay 31, 2016",2015,Norwich
Grant Holt,32,forward,-,Wigan,€1.80m,2013,Norwich
James Vaughan,24,forward,-,Huddersfield,€870k,2013,Norwich
Jacob Butterfield,23,midfielder,-,Middlesbrough,€620k,2013,Norwich
Leon Barnett,27,defender,-,Wigan,€585k,2013,Norwich
Jed Steer,20,goalkeeper,€300k,Aston Villa,€540k,2013,Norwich
Daniel Ayala,23,defender,€200k,Middlesbrough,€420k,2013,Norwich
Chris Martin,24,forward,€100k,Derby,free transfer,2013,Norwich
Simeon Jackson,26,forward,-,E. Braunschweig,free transfer,2013,Norwich
Marc Tierney,27,defender,-,Bolton,free transfer,2013,Norwich
Tom Adeyemi,21,midfielder,-,Birmingham,free transfer,2013,Norwich
Elliott Ward,28,defender,-,Bournemouth,free transfer,2013,Norwich
Korey Smith,22,midfielder,€250k,Oldham Athletic,free transfer,2013,Norwich
Cameron McGeehan,18,midfielder,€375k,Luton,loan transfer,2013,Norwich
David Fox,29,midfielder,-,Barnsley FC,loan transfer,2013,Norwich
Jacob Murphy,19,forward,€15.00m,Southend United,loan transfer,2013,Norwich
Adel Gafaiti,19,defender,-,Oldham Athletic,loan transfer,2013,Norwich
Jacob Murphy,18,forward,€15.00m,Swindon Town,loan transfer,2013,Norwich
Daniel Ayala,22,defender,€200k,Middlesbrough,loan transfer,2013,Norwich
Andrew Surman,26,midfielder,-,Bournemouth,loan transfer,2013,Norwich
Lee Camp,28,goalkeeper,-,Without Club,-,2013,Norwich
Javier Garrido,28,defender,-,Lazio,"End of loanJun 30, 2013",2013,Norwich
Andrew Crofts,28,midfielder,-,Brighton,€380k,2012,Norwich
Steve Morison,29,forward,-,Leeds,free transfer,2012,Norwich
Matt Ball,19,forward,-,Stevenage,free transfer,2012,Norwich
Adam Drury,33,defender,-,Leeds,free transfer,2012,Norwich
Zak Whitbread,28,defender,-,Leicester,free transfer,2012,Norwich
Aaron Wilbraham,32,forward,-,Crystal Palace,free transfer,2012,Norwich
Simon Lappin,30,midfielder,-,Cardiff,free transfer,2012,Norwich
Jacob Butterfield,22,midfielder,-,Crystal Palace,loan transfer,2012,Norwich
Chris Martin,24,forward,€100k,Swindon Town,loan transfer,2012,Norwich
Declan Rudd,22,goalkeeper,-,Preston,loan transfer,2012,Norwich
Daniel Ayala,21,defender,€200k,Nottm Forest,loan transfer,2012,Norwich
Leon Barnett,27,defender,-,Cardiff,loan transfer,2012,Norwich
Elliott Ward,27,defender,-,Nottm Forest,loan transfer,2012,Norwich
Chris Martin,24,forward,€100k,Derby,loan transfer,2012,Norwich
Korey Smith,21,midfielder,€250k,Yeovil Town,loan transfer,2012,Norwich
James Vaughan,24,forward,-,Huddersfield,loan transfer,2012,Norwich
Simon Lappin,29,midfielder,-,Cardiff,loan transfer,2012,Norwich
Jacob Butterfield,22,midfielder,-,Bolton,loan transfer,2012,Norwich
Elliott Ward,27,defender,-,Nottm Forest,loan transfer,2012,Norwich
Tom Adeyemi,20,midfielder,-,Brentford,loan transfer,2012,Norwich
Korey Smith,22,midfielder,€250k,Oldham Athletic,loan transfer,2012,Norwich
Jed Steer,20,goalkeeper,€300k,Cambridge Utd.,loan transfer,2012,Norwich
Harry Kane,19,forward,€100.00m,Tottenham,"End of loanFeb 1, 2013",2012,Norwich
Kei Kamara,28,forward,€100k,Kansas City,"End of loanMay 7, 2013",2012,Norwich
Cody McDonald,25,forward,-,Coventry,€450k,2011,Norwich
Luke Daley,21,forward,-,Plymouth,€50k,2011,Norwich
Jens Berthel Askou,28,defender,-,Vejle-Kolding,free transfer,2011,Norwich
Matt Gill,30,midfielder,-,Bristol Rovers,free transfer,2011,Norwich
Owain Tudur Jones,26,midfielder,-,Inverness CT,free transfer,2011,Norwich
Steven Smith,25,defender,-,Preston,free transfer,2011,Norwich
Oli Johnson,24,forward,-,Oxford United,free transfer,2011,Norwich
Anthony McNamee,27,midfielder,-,MK Dons,free transfer,2011,Norwich
Oli Johnson,23,forward,-,Yeovil Town,loan transfer,2011,Norwich
Matt Ball,18,forward,-,Macclesfield,loan transfer,2011,Norwich
Jed Steer,18,goalkeeper,€300k,Yeovil Town,loan transfer,2011,Norwich
Korey Smith,20,midfielder,€250k,Barnsley FC,loan transfer,2011,Norwich
Ryan Bennett,21,defender,€100k,Peterborough,loan transfer,2011,Norwich
Chris Martin,23,forward,€100k,Crystal Palace,loan transfer,2011,Norwich
Tom Adeyemi,19,midfielder,-,Oldham Athletic,loan transfer,2011,Norwich
