Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
Chelsea FC,€8.03m,22,€3.59m,17,€-4.45m,1994
Chelsea FC,€9.97m,21,€6.59m,20,€-3.38m,1993
Coventry City,€37.51m,19,€39.25m,18,€1.74m,2023
Coventry City,€37.51m,33,€41.00m,31,€3.49m,2022
Coventry City,€8.40m,43,€48.35m,54,€39.95m,2001
Coventry City,€26.90m,33,€58.28m,39,€31.38m,2000
Coventry City,€39.33m,34,€41.68m,32,€2.35m,1999
Coventry City,€28.02m,41,€28.20m,31,€180k,1998
Coventry City,€12.35m,36,€16.55m,34,€4.21m,1997
Coventry City,€12.65m,28,€5.75m,32,€-6.90m,1996
Coventry City,€14.81m,32,€4.57m,32,€-10.25m,1995
Coventry City,€13.89m,37,€9.30m,33,€-4.60m,1994
Coventry City,€8.03m,32,€7.37m,29,€-655k,1993
Crystal Palace,€67.80m,10,-,10,€-67.80m,2023
Crystal Palace,€114.40m,22,€5.46m,20,€-108.95m,2022
Crystal Palace,€132.22m,27,€5.46m,28,€-126.76m,2021
Crystal Palace,€108.02m,26,€20.00m,24,€-88.02m,2020
Crystal Palace,€30.00m,26,€75.38m,23,€45.38m,2019
Crystal Palace,€67.80m,26,€3.35m,34,€-64.45m,2017
Crystal Palace,€157.15m,37,€53.20m,42,€-103.95m,2016
Crystal Palace,€130.00m,41,€55.60m,47,€-74.40m,2015
Crystal Palace,€60.02m,60,€8.27m,62,€-51.75m,2014
Crystal Palace,€64.22m,83,€2.87m,71,€-61.35m,2013
Crystal Palace,€34.72m,70,€16.39m,59,€-18.33m,2012
Crystal Palace,€15.46m,35,€22.40m,37,€6.94m,2005
Crystal Palace,€11.60m,28,€3.40m,28,€-8.20m,2004
Crystal Palace,€5.40m,31,€100k,31,€-5.30m,2003
Crystal Palace,€2.60m,30,€7.13m,35,€4.53m,2002
Crystal Palace,€13.85m,45,€1.45m,42,€-12.40m,2000
Crystal Palace,€9.60m,29,€2.93m,41,€-6.67m,1999
Crystal Palace,€20.64m,56,€25.79m,52,€5.15m,1997
Crystal Palace,€17.43m,43,€9.84m,35,€-7.58m,1996
Crystal Palace,€9.53m,34,€22.45m,40,€12.92m,1995
Crystal Palace,€9.35m,35,€19.91m,37,€10.56m,1994
Crystal Palace,€3.87m,27,€3.30m,18,€-570k,1993
Derby County,€26.25m,44,€35.73m,41,€9.48m,2017
Derby County,€51.33m,40,€16.26m,41,€-35.07m,2015
Derby County,€37.07m,56,-,53,€-37.07m,2014
Derby County,€27.53m,70,€12.94m,68,€-14.59m,2007
Derby County,€32.64m,58,€7.09m,52,€-25.56m,2006
Derby County,€17.91m,30,€24.38m,27,€6.47m,2000
Derby County,€26.73m,34,€14.53m,29,€-12.20m,1999
Derby County,€19.09m,37,€23.80m,33,€4.71m,1998
Derby County,€9.49m,31,€19.07m,29,€9.58m,1997
Derby County,€10.65m,41,€7.19m,42,€-3.46m,1995
Derby County,€8.46m,30,€14.12m,27,€5.66m,1994
Everton FC,€40.50m,17,€82.80m,21,€42.30m,2023
Everton FC,€118.70m,31,€186.40m,35,€67.70m,2022
Everton FC,€117.70m,29,€149.60m,33,€31.90m,2021
